number of inputs, runtime(in ms)
199001, 28.653
199501, 29.139
200001, 27.265
200501, 47.816
201001, 30.617
201501, 29.006
202001, 27.434
202501, 27.408
203001, 26.933
203501, 26.439
204001, 26.762
204501, 27.29
205001, 83.001
205501, 36.575
206001, 27.604
206501, 27.734
207001, 28.159
207501, 28.167
208001, 27.394
208501, 26.47
209001, 29.66
209501, 29.677
210001, 33.078
210501, 45.17
211001, 46.981
211501, 43.896
212001, 46.083
212501, 46.362
213001, 43.97
213501, 44.245
214001, 40.02
214501, 28.896
215001, 28.229
215501, 28.963
216001, 29.789
216501, 34.092
217001, 32.913
217501, 33.208
218001, 34.007
218501, 32.246
219001, 31.426
219501, 31.418
220001, 31.552
220501, 29.334
221001, 30.581
221501, 33.787
222001, 31.176
222501, 30.912
223001, 92.586
223501, 33.909
224001, 29.747
224501, 29.597
225001, 30.85
225501, 29.756
226001, 29.78
226501, 73.259
227001, 33.318
227501, 31.91
228001, 29.793
228501, 30.032
229001, 30.851
229501, 30.565
230001, 30.858
230501, 49.55
231001, 38.45
231501, 29.882
232001, 31.031
232501, 32.988
233001, 30.719
233501, 31.535
234001, 67.485
234501, 32.972
235001, 33.09
235501, 33.242
236001, 32.603
236501, 32.721
237001, 32.465
237501, 44.233
238001, 40.691
238501, 33.216
239001, 32.072
239501, 33.072
240001, 33.183
240501, 32.121
241001, 31.218
241501, 33.105
242001, 32.649
242501, 32.489
243001, 34.257
243501, 33.461
244001, 37.807
244501, 36.239
245001, 43.181
245501, 36.276
246001, 32.598
246501, 32.591
247001, 109.454
247501, 79.912
248001, 49.829
248501, 35.052
249001, 34.088
249501, 34.808
250001, 34.085
250501, 33.856
251001, 33.327
251501, 33.471
252001, 77.02
252501, 35.177
253001, 33.586
253501, 32.584
254001, 33.035
254501, 33.538
255001, 33.836
255501, 41.727
256001, 35.919
256501, 33.637
257001, 34.307
257501, 34.019
258001, 32.59
258501, 54.506
259001, 37.027
259501, 34.59
260001, 35.572
260501, 32.923
261001, 31.717
261501, 35.008
262001, 38.482
262501, 48.761
263001, 39.195
263501, 48.276
264001, 39.491
264501, 32.875
265001, 48.715
265501, 39.492
266001, 35.955
266501, 48.222
267001, 70.038
267501, 37.261
268001, 37.864
268501, 37.956
269001, 38.571
269501, 51.341
270001, 56.953
270501, 36.484
271001, 35.527
271501, 67.754
272001, 35.74
272501, 36.222
273001, 37.742
273501, 35.208
274001, 35.352
274501, 107.819
275001, 36.831
275501, 37.463
276001, 36.9
276501, 37.413
277001, 37.263
277501, 106.925
278001, 36.216
278501, 37.297
279001, 37.121
279501, 37.277
280001, 37.899
280501, 38.311
281001, 63.287
281501, 42.026
282001, 39.805
282501, 54.902
283001, 61.477
283501, 48.916
284001, 40.519
284501, 37.971
285001, 39.033
285501, 37.981
286001, 39.67
286501, 39.265
287001, 41.478
287501, 38.93
288001, 39.384
288501, 40.936
289001, 42.652
289501, 39.296
290001, 39.38
290501, 39.105
291001, 40.489
291501, 39.796
292001, 41.525
292501, 41.44
293001, 40.661
293501, 41.112
294001, 40.436
294501, 41.746
295001, 42.051
295501, 40.101
296001, 39.61
296501, 39.592
297001, 40.313
297501, 40.823
298001, 41.23
298501, 42.756
299001, 41.514
299501, 40.692
300001, 40.787
300501, 41.674
301001, 40.812
301501, 41.395
302001, 41.211
302501, 41.399
303001, 40.707
303501, 42.034
304001, 41.788
304501, 41.2
305001, 41.303
305501, 42.737
306001, 42.263
306501, 42.213
307001, 42.053
307501, 41.883
308001, 42.128
308501, 40.142
309001, 40.844
309501, 41.183
310001, 43.594
310501, 42.155
311001, 62.369
311501, 63.729
312001, 44.467
312501, 52.764
313001, 44.072
313501, 67.684
314001, 68.283
314501, 42.207
315001, 42.364
315501, 42.59
316001, 42.851
316501, 43.546
317001, 43.843
317501, 42.978
318001, 43.789
318501, 43.875
319001, 43.618
319501, 43.842
320001, 45.627
320501, 42.901
321001, 43.868
321501, 43.634
322001, 43.998
322501, 44.602
323001, 44.65
323501, 44.945
324001, 43.912
324501, 45.66
325001, 45.81
325501, 44.853
326001, 43.915
326501, 44.381
327001, 42.849
327501, 43.03
328001, 44.622
328501, 44.891
329001, 45.15
329501, 45.888
330001, 41.626
330501, 43.185
331001, 47.831
331501, 45.397
